Season;Kolo;Datum;Domaci;Hoste;Score;Result[team];Goly 0-2;Kazdy tym dal gol
season_13-14;1;19.08. 22:00;Almeria;Villarreal;2  :  3;Villarreal;false;true
season_13-14;1;19.08. 22:00;Celta Vigo;Espanyol;2  :  2;draw;false;true
season_13-14;1;19.08. 20:00;Vallecano;Elche;3  :  0;Vallecano;false;false
season_13-14;1;18.08. 23:00;Sevilla;Atl. Madrid;1  :  3;Atl. Madrid;false;true
season_13-14;1;18.08. 21:00;Osasuna;Granada;1  :  2;Granada;false;true
season_13-14;1;18.08. 21:00;Real Madrid;Betis;2  :  1;Real Madrid;false;true
season_13-14;1;18.08. 19:00;Barcelona;Levante;7  :  0;Barcelona;false;false
season_13-14;1;17.08. 23:00;Valencia;Malaga;1  :  0;Valencia;true;false
season_13-14;1;17.08. 21:00;Valladolid;Ath. Bilbao;1  :  2;Ath. Bilbao;false;true
season_13-14;1;17.08. 19:00;Real Sociedad;Getafe;2  :  0;Real Sociedad;true;false
season_13-14;2;26.08. 21:00;Granada;Real Madrid;0  :  1;Real Madrid;true;false
season_13-14;2;25.08. 23:00;Betis;Celta Vigo;1  :  2;Celta Vigo;false;true
season_13-14;2;25.08. 21:00;Levante;Sevilla;0  :  0;draw;true;false
season_13-14;2;25.08. 21:00;Malaga;Barcelona;0  :  1;Barcelona;true;false
season_13-14;2;25.08. 19:00;Atl. Madrid;Vallecano;5  :  0;Atl. Madrid;false;false
season_13-14;2;24.08. 23:00;Villarreal;Valladolid;2  :  1;Villarreal;false;true
season_13-14;2;24.08. 21:00;Espanyol;Valencia;3  :  1;Espanyol;false;true
season_13-14;2;24.08. 19:00;Elche;Real Sociedad;1  :  1;draw;true;true
season_13-14;2;23.08. 22:00;Ath. Bilbao;Osasuna;2  :  0;Ath. Bilbao;true;false
season_13-14;2;23.08. 20:00;Getafe;Almeria;2  :  2;draw;false;true
season_13-14;3;01.09. 21:00;Sevilla;Malaga;2  :  2;draw;false;true
season_13-14;3;01.09. 21:00;Valencia;Barcelona;2  :  3;Barcelona;false;true
season_13-14;3;01.09. 19:00;Real Sociedad;Atl. Madrid;1  :  2;Atl. Madrid;false;true
season_13-14;3;01.09. 17:00;Espanyol;Betis;0  :  0;draw;true;false
season_13-14;3;01.09. 12:00;Real Madrid;Ath. Bilbao;3  :  1;Real Madrid;false;true
season_13-14;3;31.08. 23:00;Osasuna;Villarreal;0  :  3;Villarreal;false;false
season_13-14;3;31.08. 21:00;Valladolid;Getafe;1  :  0;Valladolid;true;false
season_13-14;3;31.08. 19:00;Celta Vigo;Granada;1  :  1;draw;true;true
season_13-14;3;30.08. 23:00;Almeria;Elche;2  :  2;draw;false;true
season_13-14;3;30.08. 23:00;Vallecano;Levante;1  :  2;Levante;false;true
season_13-14;4;16.09. 22:00;Ath. Bilbao;Celta Vigo;3  :  2;Ath. Bilbao;false;true
season_13-14;4;16.09. 20:00;Elche;Valladolid;0  :  0;draw;true;false
season_13-14;4;15.09. 21:00;Betis;Valencia;3  :  1;Betis;false;true
season_13-14;4;15.09. 19:00;Malaga;Vallecano;5  :  0;Malaga;false;false
season_13-14;4;15.09. 17:00;Getafe;Osasuna;2  :  1;Getafe;false;true
season_13-14;4;15.09. 12:00;Granada;Espanyol;0  :  1;Espanyol;true;false
season_13-14;4;14.09. 22:00;Villarreal;Real Madrid;2  :  2;draw;false;true
season_13-14;4;14.09. 20:00;Barcelona;Sevilla;3  :  2;Barcelona;false;true
season_13-14;4;14.09. 18:00;Levante;Real Sociedad;0  :  0;draw;true;false
season_13-14;4;14.09. 16:00;Atl. Madrid;Almeria;4  :  2;Atl. Madrid;false;true
season_13-14;5;23.09. 22:00;Espanyol;Ath. Bilbao;3  :  2;Espanyol;false;true
season_13-14;5;22.09. 21:00;Valencia;Sevilla;3  :  1;Valencia;false;true
season_13-14;5;22.09. 19:00;Real Madrid;Getafe;4  :  1;Real Madrid;false;true
season_13-14;5;22.09. 17:00;Celta Vigo;Villarreal;0  :  0;draw;true;false
season_13-14;5;22.09. 12:00;Betis;Granada;0  :  0;draw;true;false
season_13-14;5;21.09. 22:00;Valladolid;Atl. Madrid;0  :  2;Atl. Madrid;true;false
season_13-14;5;21.09. 20:00;Vallecano;Barcelona;0  :  4;Barcelona;false;false
season_13-14;5;21.09. 18:00;Almeria;Levante;2  :  2;draw;false;true
season_13-14;5;21.09. 16:00;Real Sociedad;Malaga;0  :  0;draw;true;false
season_13-14;5;20.09. 21:00;Osasuna;Elche;2  :  1;Osasuna;false;true
season_13-14;6;26.09. 22:00;Getafe;Celta Vigo;2  :  0;Getafe;true;false
season_13-14;6;26.09. 22:00;Villarreal;Espanyol;2  :  1;Villarreal;false;true
season_13-14;6;26.09. 20:00;Ath. Bilbao;Betis;2  :  1;Ath. Bilbao;false;true
season_13-14;6;25.09. 22:00;Elche;Real Madrid;1  :  2;Real Madrid;false;true
season_13-14;6;25.09. 20:00;Granada;Valencia;0  :  1;Valencia;true;false
season_13-14;6;25.09. 20:00;Sevilla;Vallecano;4  :  1;Sevilla;false;true
season_13-14;6;24.09. 22:00;Atl. Madrid;Osasuna;2  :  1;Atl. Madrid;false;true
season_13-14;6;24.09. 22:00;Malaga;Almeria;2  :  0;Malaga;true;false
season_13-14;6;24.09. 20:00;Barcelona;Real Sociedad;4  :  1;Barcelona;false;true
season_13-14;6;24.09. 20:00;Levante;Valladolid;1  :  1;draw;true;true
season_13-14;7;30.09. 22:00;Granada;Ath. Bilbao;2  :  0;Granada;true;false
season_13-14;7;29.09. 21:00;Betis;Villarreal;1  :  0;Betis;true;false
season_13-14;7;29.09. 19:00;Espanyol;Getafe;0  :  2;Getafe;true;false
season_13-14;7;29.09. 17:00;Celta Vigo;Elche;0  :  1;Elche;true;false
season_13-14;7;29.09. 12:00;Osasuna;Levante;0  :  1;Levante;true;false
season_13-14;7;28.09. 22:00;Real Madrid;Atl. Madrid;0  :  1;Atl. Madrid;true;false
season_13-14;7;28.09. 20:00;Real Sociedad;Sevilla;1  :  1;draw;true;true
season_13-14;7;28.09. 18:00;Almeria;Barcelona;0  :  2;Barcelona;true;false
season_13-14;7;28.09. 16:00;Valencia;Vallecano;1  :  0;Valencia;true;false
season_13-14;7;27.09. 21:00;Valladolid;Malaga;2  :  2;draw;false;true
season_13-14;8;06.10. 21:00;Ath. Bilbao;Valencia;1  :  1;draw;true;true
season_13-14;8;06.10. 19:00;Getafe;Betis;3  :  1;Getafe;false;true
season_13-14;8;06.10. 17:00;Sevilla;Almeria;2  :  1;Sevilla;false;true
season_13-14;8;06.10. 12:00;Atl. Madrid;Celta Vigo;2  :  1;Atl. Madrid;false;true
season_13-14;8;05.10. 22:00;Barcelona;Valladolid;4  :  1;Barcelona;false;true
season_13-14;8;05.10. 20:00;Levante;Real Madrid;2  :  3;Real Madrid;false;true
season_13-14;8;05.10. 18:00;Vallecano;Real Sociedad;1  :  0;Vallecano;true;false
season_13-14;8;05.10. 16:00;Elche;Espanyol;2  :  1;Elche;false;true
season_13-14;8;04.10. 22:00;Malaga;Osasuna;0  :  1;Osasuna;true;false
season_13-14;8;04.10. 20:00;Villarreal;Granada;3  :  0;Villarreal;false;false
season_13-14;9;21.10. 22:00;Ath. Bilbao;Villarreal;2  :  0;Ath. Bilbao;true;false
season_13-14;9;21.10. 20:00;Celta Vigo;Levante;0  :  1;Levante;true;false
season_13-14;9;20.10. 21:00;Valladolid;Sevilla;2  :  2;draw;false;true
season_13-14;9;20.10. 19:00;Betis;Elche;1  :  2;Elche;false;true
season_13-14;9;20.10. 17:00;Almeria;Vallecano;0  :  1;Vallecano;true;false
season_13-14;9;20.10. 12:00;Granada;Getafe;0  :  2;Getafe;true;false
season_13-14;9;19.10. 22:00;Espanyol;Atl. Madrid;1  :  0;Espanyol;true;false
season_13-14;9;19.10. 20:00;Osasuna;Barcelona;0  :  0;draw;true;false
season_13-14;9;19.10. 18:00;Valencia;Real Sociedad;1  :  2;Real Sociedad;false;true
season_13-14;9;19.10. 16:00;Real Madrid;Malaga;2  :  0;Real Madrid;true;false
season_13-14;10;28.10. 22:00;Getafe;Ath. Bilbao;0  :  1;Ath. Bilbao;true;false
season_13-14;10;27.10. 21:00;Atl. Madrid;Betis;5  :  0;Atl. Madrid;false;false
season_13-14;10;27.10. 19:00;Real Sociedad;Almeria;3  :  0;Real Sociedad;false;false
season_13-14;10;27.10. 17:00;Villarreal;Valencia;4  :  1;Villarreal;false;true
season_13-14;10;27.10. 12:00;Sevilla;Osasuna;2  :  1;Sevilla;false;true
season_13-14;10;26.10. 22:00;Levante;Espanyol;3  :  0;Levante;false;false
season_13-14;10;26.10. 20:00;Elche;Granada;0  :  1;Granada;true;false
season_13-14;10;26.10. 18:00;Barcelona;Real Madrid;2  :  1;Barcelona;false;true
season_13-14;10;26.10. 16:00;Malaga;Celta Vigo;0  :  5;Celta Vigo;false;false
season_13-14;10;25.10. 21:00;Vallecano;Valladolid;0  :  3;Valladolid;false;false
season_13-14;11;31.10. 22:00;Ath. Bilbao;Elche;2  :  2;draw;false;true
season_13-14;11;31.10. 22:00;Betis;Levante;0  :  0;draw;true;false
season_13-14;11;31.10. 20:00;Granada;Atl. Madrid;1  :  2;Atl. Madrid;false;true
season_13-14;11;31.10. 20:00;Villarreal;Getafe;0  :  2;Getafe;true;false
season_13-14;11;30.10. 22:00;Osasuna;Vallecano;3  :  1;Osasuna;false;true
season_13-14;11;30.10. 22:00;Real Madrid;Sevilla;7  :  3;Real Madrid;false;true
season_13-14;11;30.10. 20:00;Valencia;Almeria;1  :  2;Almeria;false;true
season_13-14;11;30.10. 20:00;Valladolid;Real Sociedad;2  :  2;draw;false;true
season_13-14;11;29.10. 22:00;Celta Vigo;Barcelona;0  :  3;Barcelona;false;false
season_13-14;11;29.10. 20:00;Espanyol;Malaga;0  :  0;draw;true;false
season_13-14;12;04.11. 22:00;Elche;Villarreal;0  :  1;Villarreal;true;false
season_13-14;12;03.11. 21:00;Malaga;Betis;3  :  2;Malaga;false;true
season_13-14;12;03.11. 19:00;Levante;Granada;0  :  1;Granada;true;false
season_13-14;12;03.11. 17:00;Atl. Madrid;Ath. Bilbao;2  :  0;Atl. Madrid;true;false
season_13-14;12;03.11. 12:00;Getafe;Valencia;0  :  1;Valencia;true;false
season_13-14;12;02.11. 22:00;Sevilla;Celta Vigo;0  :  1;Celta Vigo;true;false
season_13-14;12;02.11. 20:00;Vallecano;Real Madrid;2  :  3;Real Madrid;false;true
season_13-14;12;02.11. 18:00;Almeria;Valladolid;1  :  0;Almeria;true;false
season_13-14;12;02.11. 16:00;Real Sociedad;Osasuna;5  :  0;Real Sociedad;false;false
season_13-14;12;01.11. 21:00;Barcelona;Espanyol;1  :  0;Barcelona;true;false
season_13-14;13;10.11. 21:00;Betis;Barcelona;1  :  4;Barcelona;false;true
season_13-14;13;10.11. 19:00;Villarreal;Atl. Madrid;1  :  1;draw;true;true
season_13-14;13;10.11. 17:00;Valencia;Valladolid;2  :  2;draw;false;true
season_13-14;13;10.11. 12:00;Espanyol;Sevilla;1  :  3;Sevilla;false;true
season_13-14;13;09.11. 22:00;Celta Vigo;Vallecano;0  :  2;Vallecano;true;false
season_13-14;13;09.11. 20:00;Ath. Bilbao;Levante;2  :  1;Ath. Bilbao;false;true
season_13-14;13;09.11. 18:00;Getafe;Elche;1  :  1;draw;true;true
season_13-14;13;09.11. 16:00;Real Madrid;Real Sociedad;5  :  1;Real Madrid;false;true
season_13-14;13;08.11. 22:00;Granada;Malaga;3  :  1;Granada;false;true
season_13-14;13;08.11. 20:00;Osasuna;Almeria;0  :  1;Almeria;true;false
season_13-14;14;25.11. 22:00;Malaga;Ath. Bilbao;1  :  2;Ath. Bilbao;false;true
season_13-14;14;24.11. 21:00;Sevilla;Betis;4  :  0;Sevilla;false;false
season_13-14;14;24.11. 19:00;Elche;Valencia;2  :  1;Elche;false;true
season_13-14;14;24.11. 17:00;Vallecano;Espanyol;1  :  4;Espanyol;false;true
season_13-14;14;24.11. 12:00;Levante;Villarreal;0  :  3;Villarreal;false;false
season_13-14;14;23.11. 22:00;Atl. Madrid;Getafe;7  :  0;Atl. Madrid;false;false
season_13-14;14;23.11. 20:00;Almeria;Real Madrid;0  :  5;Real Madrid;false;false
season_13-14;14;23.11. 18:00;Real Sociedad;Celta Vigo;4  :  3;Real Sociedad;false;true
season_13-14;14;23.11. 16:00;Barcelona;Granada;4  :  0;Barcelona;false;false
season_13-14;14;22.11. 21:00;Valladolid;Osasuna;0  :  1;Osasuna;true;false
season_13-14;15;01.12. 21:00;Ath. Bilbao;Barcelona;1  :  0;Ath. Bilbao;true;false
season_13-14;15;01.12. 19:00;Valencia;Osasuna;3  :  0;Valencia;false;false
season_13-14;15;01.12. 17:00;Granada;Sevilla;1  :  2;Sevilla;false;true
season_13-14;15;01.12. 12:00;Betis;Vallecano;2  :  2;draw;false;true
season_13-14;15;30.11. 22:00;Espanyol;Real Sociedad;1  :  2;Real Sociedad;false;true
season_13-14;15;30.11. 20:00;Real Madrid;Valladolid;4  :  0;Real Madrid;false;false
season_13-14;15;30.11. 18:00;Celta Vigo;Almeria;3  :  1;Celta Vigo;false;true
season_13-14;15;30.11. 16:00;Elche;Atl. Madrid;0  :  2;Atl. Madrid;true;false
season_13-14;15;29.11. 20:30;Villarreal;Malaga;1  :  1;draw;true;true
season_13-14;15;29.11. 20:00;Getafe;Levante;1  :  0;Getafe;true;false
season_13-14;16;16.12. 22:00;Valladolid;Celta Vigo;3  :  0;Valladolid;false;false
season_13-14;16;15.12. 21:00;Atl. Madrid;Valencia;3  :  0;Atl. Madrid;false;false
season_13-14;16;15.12. 19:00;Sevilla;Ath. Bilbao;1  :  1;draw;true;true
season_13-14;16;15.12. 17:00;Real Sociedad;Betis;5  :  1;Real Sociedad;false;true
season_13-14;16;15.12. 12:00;Almeria;Espanyol;0  :  0;draw;true;false
season_13-14;16;14.12. 22:00;Malaga;Getafe;1  :  0;Malaga;true;false
season_13-14;16;14.12. 20:00;Barcelona;Villarreal;2  :  1;Barcelona;false;true
season_13-14;16;14.12. 18:00;Vallecano;Granada;0  :  2;Granada;true;false
season_13-14;16;14.12. 16:00;Osasuna;Real Madrid;2  :  2;draw;false;true
season_13-14;16;13.12. 21:00;Levante;Elche;2  :  1;Levante;false;true
season_13-14;17;22.12. 21:00;Celta Vigo;Osasuna;1  :  1;draw;true;true
season_13-14;17;22.12. 21:00;Valencia;Real Madrid;2  :  3;Real Madrid;false;true
season_13-14;17;22.12. 19:00;Ath. Bilbao;Vallecano;2  :  1;Ath. Bilbao;false;true
season_13-14;17;22.12. 17:00;Getafe;Barcelona;2  :  5;Barcelona;false;true
season_13-14;17;22.12. 12:00;Espanyol;Valladolid;4  :  2;Espanyol;false;true
season_13-14;17;21.12. 22:00;Granada;Real Sociedad;1  :  3;Real Sociedad;false;true
season_13-14;17;21.12. 20:00;Atl. Madrid;Levante;3  :  2;Atl. Madrid;false;true
season_13-14;17;21.12. 18:00;Betis;Almeria;0  :  1;Almeria;true;false
season_13-14;17;21.12. 16:00;Villarreal;Sevilla;1  :  2;Sevilla;false;true
season_13-14;17;20.12. 20:30;Elche;Malaga;0  :  1;Malaga;true;false
season_13-14;18;06.01. 22:00;Vallecano;Villarreal;2  :  5;Villarreal;false;true
season_13-14;18;06.01. 19:00;Real Madrid;Celta Vigo;3  :  0;Real Madrid;false;false
season_13-14;18;05.01. 20:00;Real Sociedad;Ath. Bilbao;2  :  0;Real Sociedad;true;false
season_13-14;18;05.01. 18:00;Osasuna;Espanyol;1  :  0;Osasuna;true;false
season_13-14;18;05.01. 16:00;Barcelona;Elche;4  :  0;Barcelona;false;false
season_13-14;18;05.01. 12:00;Sevilla;Getafe;3  :  0;Sevilla;false;false
season_13-14;18;04.01. 22:00;Almeria;Granada;3  :  0;Almeria;false;false
season_13-14;18;04.01. 20:00;Valencia;Levante;2  :  0;Valencia;true;false
season_13-14;18;04.01. 18:00;Valladolid;Betis;0  :  0;draw;true;false
season_13-14;18;04.01. 16:00;Malaga;Atl. Madrid;0  :  1;Atl. Madrid;true;false
season_13-14;19;13.01. 22:00;Villarreal;Real Sociedad;5  :  1;Villarreal;false;true
season_13-14;19;12.01. 21:00;Levante;Malaga;1  :  0;Levante;true;false
season_13-14;19;12.01. 19:00;Espanyol;Real Madrid;0  :  1;Real Madrid;true;false
season_13-14;19;12.01. 17:00;Betis;Osasuna;1  :  2;Osasuna;false;true
season_13-14;19;12.01. 12:00;Getafe;Vallecano;0  :  1;Vallecano;true;false
season_13-14;19;11.01. 22:00;Elche;Sevilla;1  :  1;draw;true;true
season_13-14;19;11.01. 20:00;Atl. Madrid;Barcelona;0  :  0;draw;true;false
season_13-14;19;11.01. 18:00;Celta Vigo;Valencia;2  :  1;Celta Vigo;false;true
season_13-14;19;11.01. 16:00;Ath. Bilbao;Almeria;6  :  1;Ath. Bilbao;false;true
season_13-14;19;10.01. 21:00;Granada;Valladolid;4  :  0;Granada;false;false
season_13-14;20;20.01. 22:00;Ath. Bilbao;Valladolid;4  :  2;Ath. Bilbao;false;true
season_13-14;20;19.01. 21:00;Atl. Madrid;Sevilla;1  :  1;draw;true;true
season_13-14;20;19.01. 19:00;Levante;Barcelona;1  :  1;draw;true;true
season_13-14;20;19.01. 17:00;Villarreal;Almeria;2  :  0;Villarreal;true;false
season_13-14;20;19.01. 12:00;Getafe;Real Sociedad;2  :  2;draw;false;true
season_13-14;20;18.01. 22:00;Espanyol;Celta Vigo;1  :  0;Espanyol;true;false
season_13-14;20;18.01. 20:00;Granada;Osasuna;0  :  0;draw;true;false
season_13-14;20;18.01. 18:00;Elche;Vallecano;2  :  0;Elche;true;false
season_13-14;20;18.01. 16:00;Betis;Real Madrid;0  :  5;Real Madrid;false;false
season_13-14;20;17.01. 21:00;Malaga;Valencia;0  :  0;draw;true;false
season_13-14;21;27.01. 22:00;Real Sociedad;Elche;4  :  0;Real Sociedad;false;false
season_13-14;21;26.01. 21:00;Barcelona;Malaga;3  :  0;Barcelona;false;false
season_13-14;21;26.01. 19:00;Vallecano;Atl. Madrid;2  :  4;Atl. Madrid;false;true
season_13-14;21;26.01. 17:00;Osasuna;Ath. Bilbao;1  :  5;Ath. Bilbao;false;true
season_13-14;21;26.01. 12:00;Almeria;Getafe;1  :  0;Almeria;true;false
season_13-14;21;25.01. 22:00;Sevilla;Levante;2  :  3;Levante;false;true
season_13-14;21;25.01. 20:00;Valencia;Espanyol;2  :  2;draw;false;true
season_13-14;21;25.01. 18:00;Valladolid;Villarreal;1  :  0;Valladolid;true;false
season_13-14;21;25.01. 16:00;Real Madrid;Granada;2  :  0;Real Madrid;true;false
season_13-14;21;24.01. 21:00;Celta Vigo;Betis;4  :  2;Celta Vigo;false;true
season_13-14;22;03.02. 22:00;Villarreal;Osasuna;3  :  1;Villarreal;false;true
season_13-14;22;02.02. 21:00;Ath. Bilbao;Real Madrid;1  :  1;draw;true;true
season_13-14;22;02.02. 19:00;Atl. Madrid;Real Sociedad;4  :  0;Atl. Madrid;false;false
season_13-14;22;02.02. 17:00;Betis;Espanyol;2  :  0;Betis;true;false
season_13-14;22;02.02. 12:00;Elche;Almeria;1  :  0;Elche;true;false
season_13-14;22;01.02. 22:00;Malaga;Sevilla;3  :  2;Malaga;false;true
season_13-14;22;01.02. 20:00;Getafe;Valladolid;0  :  0;draw;true;false
season_13-14;22;01.02. 18:00;Levante;Vallecano;0  :  0;draw;true;false
season_13-14;22;01.02. 16:00;Barcelona;Valencia;2  :  3;Valencia;false;true
season_13-14;22;31.01. 21:00;Granada;Celta Vigo;1  :  2;Celta Vigo;false;true
season_13-14;23;10.02. 22:00;Celta Vigo;Ath. Bilbao;0  :  0;draw;true;false
season_13-14;23;09.02. 21:00;Sevilla;Barcelona;1  :  4;Barcelona;false;true
season_13-14;23;09.02. 19:00;Real Sociedad;Levante;0  :  0;draw;true;false
season_13-14;23;09.02. 17:00;Valladolid;Elche;2  :  2;draw;false;true
season_13-14;23;09.02. 12:00;Osasuna;Getafe;2  :  0;Osasuna;true;false
season_13-14;23;08.02. 22:00;Almeria;Atl. Madrid;2  :  0;Almeria;true;false
season_13-14;23;08.02. 20:00;Real Madrid;Villarreal;4  :  2;Real Madrid;false;true
season_13-14;23;08.02. 18:00;Vallecano;Malaga;4  :  1;Vallecano;false;true
season_13-14;23;08.02. 16:00;Valencia;Betis;5  :  0;Valencia;false;false
season_13-14;23;07.02. 21:00;Espanyol;Granada;1  :  0;Espanyol;true;false
season_13-14;24;17.02. 22:00;Malaga;Real Sociedad;0  :  1;Real Sociedad;true;false
season_13-14;24;16.02. 21:00;Sevilla;Valencia;0  :  0;draw;true;false
season_13-14;24;16.02. 19:00;Ath. Bilbao;Espanyol;1  :  2;Espanyol;false;true
season_13-14;24;16.02. 17:00;Getafe;Real Madrid;0  :  3;Real Madrid;false;false
season_13-14;24;16.02. 12:00;Granada;Betis;1  :  0;Granada;true;false
season_13-14;24;15.02. 22:00;Villarreal;Celta Vigo;0  :  2;Celta Vigo;true;false
season_13-14;24;15.02. 20:00;Barcelona;Vallecano;6  :  0;Barcelona;false;false
season_13-14;24;15.02. 18:00;Levante;Almeria;1  :  0;Levante;true;false
season_13-14;24;15.02. 16:00;Atl. Madrid;Valladolid;3  :  0;Atl. Madrid;false;false
season_13-14;24;14.02. 21:00;Elche;Osasuna;0  :  0;draw;true;false
season_13-14;25;24.02. 22:00;Espanyol;Villarreal;1  :  2;Villarreal;false;true
season_13-14;25;23.02. 21:00;Osasuna;Atl. Madrid;3  :  0;Osasuna;false;false
season_13-14;25;23.02. 19:00;Valencia;Granada;2  :  1;Valencia;false;true
season_13-14;25;23.02. 17:00;Betis;Ath. Bilbao;0  :  2;Ath. Bilbao;true;false
season_13-14;25;23.02. 12:00;Vallecano;Sevilla;0  :  1;Sevilla;true;false
season_13-14;25;22.02. 22:00;Almeria;Malaga;0  :  0;draw;true;false
season_13-14;25;22.02. 20:00;Real Sociedad;Barcelona;3  :  1;Real Sociedad;false;true
season_13-14;25;22.02. 18:00;Celta Vigo;Getafe;1  :  1;draw;true;true
season_13-14;25;22.02. 16:00;Real Madrid;Elche;3  :  0;Real Madrid;false;false
season_13-14;25;21.02. 21:00;Valladolid;Levante;1  :  1;draw;true;true
season_13-14;26;02.03. 21:00;Barcelona;Almeria;4  :  1;Barcelona;false;true
season_13-14;26;02.03. 21:00;Vallecano;Valencia;1  :  0;Vallecano;true;false
season_13-14;26;02.03. 19:00;Sevilla;Real Sociedad;1  :  0;Sevilla;true;false
season_13-14;26;02.03. 17:00;Atl. Madrid;Real Madrid;2  :  2;draw;false;true
season_13-14;26;02.03. 12:00;Villarreal;Betis;1  :  1;draw;true;true
season_13-14;26;01.03. 22:00;Elche;Celta Vigo;1  :  0;Elche;true;false
season_13-14;26;01.03. 20:00;Getafe;Espanyol;0  :  0;draw;true;false
season_13-14;26;01.03. 18:00;Levante;Osasuna;2  :  0;Levante;true;false
season_13-14;26;01.03. 16:00;Malaga;Valladolid;1  :  1;draw;true;true
season_13-14;26;28.02. 20:30;Ath. Bilbao;Granada;4  :  0;Ath. Bilbao;false;false
season_13-14;27;10.03. 22:00;Real Sociedad;Vallecano;2  :  3;Vallecano;false;true
season_13-14;27;10.03. 20:00;Osasuna;Malaga;0  :  2;Malaga;true;false
season_13-14;27;09.03. 21:00;Valencia;Ath. Bilbao;1  :  1;draw;true;true
season_13-14;27;09.03. 19:00;Real Madrid;Levante;3  :  0;Real Madrid;false;false
season_13-14;27;09.03. 17:00;Almeria;Sevilla;1  :  3;Sevilla;false;true
season_13-14;27;09.03. 12:00;Espanyol;Elche;3  :  1;Espanyol;false;true
season_13-14;27;08.03. 22:00;Granada;Villarreal;2  :  0;Granada;true;false
season_13-14;27;08.03. 20:00;Celta Vigo;Atl. Madrid;0  :  2;Atl. Madrid;true;false
season_13-14;27;08.03. 18:00;Betis;Getafe;2  :  0;Betis;true;false
season_13-14;27;08.03. 16:00;Valladolid;Barcelona;1  :  0;Valladolid;true;false
season_13-14;28;17.03. 22:00;Villarreal;Ath. Bilbao;1  :  1;draw;true;true
season_13-14;28;16.03. 21:00;Real Sociedad;Valencia;1  :  0;Real Sociedad;true;false
season_13-14;28;16.03. 19:00;Sevilla;Valladolid;4  :  1;Sevilla;false;true
season_13-14;28;16.03. 17:00;Barcelona;Osasuna;7  :  0;Barcelona;false;false
season_13-14;28;16.03. 12:00;Elche;Betis;0  :  0;draw;true;false
season_13-14;28;15.03. 22:00;Atl. Madrid;Espanyol;1  :  0;Atl. Madrid;true;false
season_13-14;28;15.03. 20:00;Malaga;Real Madrid;0  :  1;Real Madrid;true;false
season_13-14;28;15.03. 18:00;Vallecano;Almeria;3  :  1;Vallecano;false;true
season_13-14;28;15.03. 16:00;Levante;Celta Vigo;0  :  1;Celta Vigo;true;false
season_13-14;28;14.03. 21:00;Getafe;Granada;3  :  3;draw;false;true
season_13-14;29;24.03. 22:00;Almeria;Real Sociedad;4  :  3;Almeria;false;true
season_13-14;29;23.03. 21:00;Real Madrid;Barcelona;3  :  4;Barcelona;false;true
season_13-14;29;23.03. 19:00;Valencia;Villarreal;2  :  1;Valencia;false;true
season_13-14;29;23.03. 17:00;Betis;Atl. Madrid;0  :  2;Atl. Madrid;true;false
season_13-14;29;23.03. 12:00;Osasuna;Sevilla;1  :  2;Sevilla;false;true
season_13-14;29;22.03. 22:00;Ath. Bilbao;Getafe;1  :  0;Ath. Bilbao;true;false
season_13-14;29;22.03. 20:00;Valladolid;Vallecano;1  :  1;draw;true;true
season_13-14;29;22.03. 18:00;Espanyol;Levante;0  :  0;draw;true;false
season_13-14;29;22.03. 16:00;Granada;Elche;1  :  0;Granada;true;false
season_13-14;29;21.03. 21:00;Celta Vigo;Malaga;0  :  2;Malaga;true;false
season_13-14;30;27.03. 22:00;Almeria;Valencia;2  :  2;draw;false;true
season_13-14;30;27.03. 22:00;Levante;Betis;1  :  3;Betis;false;true
season_13-14;30;27.03. 20:00;Getafe;Villarreal;0  :  1;Villarreal;true;false
season_13-14;30;27.03. 20:00;Real Sociedad;Valladolid;1  :  0;Real Sociedad;true;false
season_13-14;30;26.03. 22:00;Atl. Madrid;Granada;1  :  0;Atl. Madrid;true;false
season_13-14;30;26.03. 22:00;Sevilla;Real Madrid;2  :  1;Sevilla;false;true
season_13-14;30;26.03. 20:00;Barcelona;Celta Vigo;3  :  0;Barcelona;false;false
season_13-14;30;26.03. 20:00;Vallecano;Osasuna;1  :  0;Vallecano;true;false
season_13-14;30;25.03. 22:00;Elche;Ath. Bilbao;0  :  0;draw;true;false
season_13-14;30;25.03. 20:00;Malaga;Espanyol;1  :  2;Espanyol;false;true
season_13-14;31;31.03. 22:00;Betis;Malaga;1  :  2;Malaga;false;true
season_13-14;31;31.03. 20:00;Granada;Levante;0  :  2;Levante;true;false
season_13-14;31;30.03. 21:00;Valencia;Getafe;1  :  3;Getafe;false;true
season_13-14;31;30.03. 19:00;Villarreal;Elche;1  :  1;draw;true;true
season_13-14;31;30.03. 17:00;Osasuna;Real Sociedad;1  :  1;draw;true;true
season_13-14;31;30.03. 12:00;Valladolid;Almeria;1  :  0;Valladolid;true;false
season_13-14;31;29.03. 22:00;Real Madrid;Vallecano;5  :  0;Real Madrid;false;false
season_13-14;31;29.03. 20:00;Ath. Bilbao;Atl. Madrid;1  :  2;Atl. Madrid;false;true
season_13-14;31;29.03. 18:00;Celta Vigo;Sevilla;1  :  0;Celta Vigo;true;false
season_13-14;31;29.03. 16:00;Espanyol;Barcelona;0  :  1;Barcelona;true;false
season_13-14;32;07.04. 22:00;Levante;Ath. Bilbao;1  :  2;Ath. Bilbao;false;true
season_13-14;32;06.04. 21:00;Valladolid;Valencia;0  :  0;draw;true;false
